Наименование программы,Год,Прибыль,Контингент
Бизнес-медиация,2021,0.0,0.0
Бизнес-медиация,2022,0.0,0.0
Бизнес-медиация,2023,5049600.0,27.0
Бизнес-медиация,2024,23117889.0,71.0
Бизнес-медиация,2025,25642689.0,84.5
Бизнес-медиация,2026,33083015.700000763,108.5
Дизайн интерьера,2021,0.0,0.0
Дизайн интерьера,2022,84825.0,3.0
Дизайн интерьера,2023,7736726.0,45.0
Дизайн интерьера,2024,29705402.5,200.0
Дизайн интерьера,2025,33573765.5,222.5
Дизайн интерьера,2026,43250576.349998474,286.70000000001164
Доктор делового администрирования - Doctor of Business Administration (DBA),2021,68000.0,1.0
Доктор делового администрирования - Doctor of Business Administration (DBA),2022,0.0,0.0
Доктор делового администрирования - Doctor of Business Administration (DBA),2023,22800000.0,23.0
Доктор делового администрирования - Doctor of Business Administration (DBA),2024,15171500.0,17.0
Доктор делового администрирования - Doctor of Business Administration (DBA),2025,26537500.0,28.0
Доктор делового администрирования - Doctor of Business Administration (DBA),2026,33348550.0,35.099999999998545
Клиническая психология,2021,0.0,0.0
Клиническая психология,2022,0.0,0.0
Клиническая психология,2023,0.0,0.0
Клиническая психология,2024,27862125.0,121.0
Клиническая психология,2025,27862125.0,121.0
Клиническая психология,2026,36220762.5,157.29999999998836
Мастер делового администрирования - Маster of Business Administration (МВА),2021,0.0,0.0
Мастер делового администрирования - Маster of Business Administration (МВА),2022,21185100.0,84.0
Мастер делового администрирования - Маster of Business Administration (МВА),2023,80602900.0,103.0
Мастер делового администрирования - Маster of Business Administration (МВА),2024,610000.0,3.0
Мастер делового администрирования - Маster of Business Administration (МВА),2025,40911450.0,54.5
Мастер делового администрирования - Маster of Business Administration (МВА),2026,47036230.0,57.29999999999927
Мастер делового администрирования – Master of Business Administration (MBA),2021,0.0,0.0
Мастер делового администрирования – Master of Business Administration (MBA),2022,0.0,0.0
Мастер делового администрирования – Master of Business Administration (MBA),2023,2780000.0,2.0
Мастер делового администрирования – Master of Business Administration (MBA),2024,113148029.85,137.0
Мастер делового администрирования – Master of Business Administration (MBA),2025,114538029.84999084,138.0
Мастер делового администрирования – Master of Business Administration (MBA),2026,148760438.80499268,179.29999999998836
Специалист по Data Science,2021,0.0,0.0
Специалист по Data Science,2022,487875.0,3.0
Специалист по Data Science,2023,15290790.0,57.0
Специалист по Data Science,2024,12416061.45,76.0
Специалист по Data Science,2025,20061456.450000763,104.5
Специалист по Data Science,2026,25266566.38500023,132.6999999999971
"Управление проектами: методология, технологии, практика",2021,0.0,0.0
"Управление проектами: методология, технологии, практика",2022,0.0,0.0
"Управление проектами: методология, технологии, практика",2023,1945000.0,16.0
"Управление проектами: методология, технологии, практика",2024,28802712.0,100.0
"Управление проектами: методология, технологии, практика",2025,29775212.0,108.0
"Управление проектами: методология, технологии, практика",2026,38610525.599998474,139.60000000000582
"Управление энергетической компанией: стратегии, технологии, практики",2021,0.0,0.0
"Управление энергетической компанией: стратегии, технологии, практики",2022,0.0,0.0
"Управление энергетической компанией: стратегии, технологии, практики",2023,0.0,0.0
"Управление энергетической компанией: стратегии, технологии, практики",2024,30500000.0,61.0
"Управление энергетической компанией: стратегии, технологии, практики",2025,30500000.0,61.0
"Управление энергетической компанией: стратегии, технологии, практики",2026,39650000.0,79.30000000000291
Финансовый директор,2021,0.0,0.0
Финансовый директор,2022,0.0,0.0
Финансовый директор,2023,7276000.0,68.0
Финансовый директор,2024,56352500.0,273.0
Финансовый директор,2025,59990500.0,307.0
Финансовый директор,2026,77623850.0,395.70000000001164
